2026-08-05 00:25:43.567 | INFO     | stock_bot.live.runner:_start_env_watcher:1571 - env watcher started (1s poll, scope=대장주봇)
2026-08-05 00:25:44.993 | INFO     | stock_bot.live.leader_runner:run_leader:69 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-08-05 00:25:44.997 | INFO     | stock_bot.live.leader_runner:run_leader:124 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-08-05 00:25:45.000 | INFO     | stock_bot.live.leader_runner:run_leader:195 - leader reval scheduled: mon-fri 9-13 every minute (gated by switch toggle+interval)
2026-08-05 00:25:45.002 | INFO     | stock_bot.live.leader_runner:run_leader:219 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-08-05 00:34:11.161 | INFO     | stock_bot.live.runner:_reload_env_if_changed:459 - .env 변경 감지, 핫리로드[대장주봇]: leader_anchor: off → vwap; leader_anchor_tol: 0.0 → 0.3
2026-08-05 00:34:17.276 | INFO     | stock_bot.live.runner:_reload_env_if_changed:459 - .env 변경 감지, 핫리로드[대장주봇]: leader_trade_enabled: False → True
2026-08-05 00:36:43.023 | INFO     | stock_bot.live.runner:_start_env_watcher:1571 - env watcher started (1s poll, scope=대장주봇)
2026-08-05 00:36:44.435 | INFO     | stock_bot.live.leader_runner:run_leader:69 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-08-05 00:36:44.439 | INFO     | stock_bot.live.leader_runner:run_leader:124 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-08-05 00:36:44.442 | INFO     | stock_bot.live.leader_runner:run_leader:195 - leader reval scheduled: mon-fri 9-13 every minute (gated by switch toggle+interval)
2026-08-05 00:36:44.445 | INFO     | stock_bot.live.leader_runner:run_leader:219 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-08-05 01:47:26.918 | INFO     | stock_bot.live.runner:_reload_env_if_changed:459 - .env 변경 감지, 핫리로드[대장주봇]: trade_symbols: 006360,013580 → 189330,018260
2026-08-05 08:54:32.078 | INFO     | stock_bot.live.runner:_reload_env_if_changed:459 - .env 변경 감지, 핫리로드[대장주봇]: leader_anchor: off → vwap; leader_anchor_tol: 0.0 → 0.3
2026-08-05 09:00:39.413 | INFO     | stock_bot.live.runner:_is_trading_day:535 - 거래일 판정 2026-08-05 → 거래일 (출처: exchange_calendars)
2026-08-05 09:20:27.177 | INFO     | stock_bot.live.runner:_reload_env_if_changed:459 - .env 변경 감지, 핫리로드[대장주봇]: leader_trade_enabled: False → True
2026-08-05 09:36:42.264 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:103 - leader pick [09:28] 선별 완료 — 오늘 스케줄 종료 (exit=0) 　　테스(+4.4%), 주성엔지니어링(+4.0%), 한미반도체(+3.6%)
2026-08-05 09:37:00.024 | INFO     | stock_bot.live.leader_trader:_load_day:243 - leader_trader: 2026-08-05 바스켓 RFHIC(218410), 대한광통신(010170) [섹터 방위산업/전쟁 및 테러] (선별 09:29, 60%룰 기준 +7.3%)
2026-08-05 09:37:16.326 | INFO     | stock_bot.live.leader_trader:_signal_vwap_touch:755 - leader_trader: 010170 대한광통신 관망(vwap) — 확정봉 0933 · VWAP 11,647 · 저가 11,910 — 아직 VWAP 미터치
2026-08-05 09:39:14.367 | INFO     | stock_bot.live.leader_trader:_signal_vwap_touch:755 - leader_trader: 010170 대한광통신 관망(vwap) — 확정봉 0936 · VWAP 11,669 · 저가 11,810 — 아직 VWAP 미터치
