2026-08-17 02:00:00.250 | INFO     | stock_bot.live.runner:_is_trading_day:590 - 거래일 판정 2026-08-17 → 휴장 (출처: 수동보강)
2026-08-17 15:34:39.169 | INFO     | stock_bot.live.runner:_start_env_watcher:1735 - env watcher started (1s poll, scope=대장주봇)
2026-08-17 15:34:40.291 | INFO     | stock_bot.live.leader_runner:run_leader:77 - leader runner started (trade_enabled=True, budget=50,000,000)
2026-08-17 15:34:40.295 | INFO     | stock_bot.live.leader_runner:run_leader:121 - leader market_flow prefetch scheduled: mon-fri 08:30 (pykrx KRX × 어제 r, 20d top-N)
2026-08-17 15:34:40.297 | INFO     | stock_bot.live.leader_runner:run_leader:166 - leader avgval prefetch scheduled: mon-fri 02:00 (시총≥1000억 전수(매경캐시, 다움교집합없음) → KIS KRX 순차)
2026-08-17 15:34:40.298 | INFO     | stock_bot.live.leader_runner:run_leader:173 - leader market_flow 부팅 직후 백필 1회 실행 (최근 5영업일 강제 덮어쓰기)
2026-08-17 15:34:40.302 | INFO     | stock_bot.live.runner:_is_trading_day:590 - 거래일 판정 2026-08-17 → 휴장 (출처: 수동보강)
2026-08-17 15:34:40.304 | INFO     | stock_bot.live.leader_runner:run_leader:241 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-08-17 15:34:40.305 | INFO     | stock_bot.live.leader_runner:run_leader:322 - leader reval scheduled: mon-fri 9-13 every minute (gated by switch toggle+interval)
2026-08-17 15:34:40.307 | INFO     | stock_bot.live.leader_runner:run_leader:346 - leader trade scheduled: mon-fri 9-15 every minute (enabled=True)
2026-08-17 15:34:40.314 | INFO     | stock_bot.live.leader_runner:run_leader:373 - leader exit-fast scheduled: mon-fri 9-15 every 5s (holding 시 stop/tp 체크, priority gate)
