id,ts_kst,symbol,side,quantity,price,strategy,reason
1,2026-08-12 11:45:06,257720,buy,1089,45900.0,leader_pullback,"눌림목 진입 (스윙저점 45,700, 확정봉 1142)"
2,2026-08-12 14:55:02,257720,sell,1089,45200.0,leader_pullback,눌림목 마감청산
3,2026-08-13 09:33:05,009150,buy,33,1490000.0,leader_pullback,"눌림목 진입 (스윙저점 1,487,000, 확정봉 0930)"
4,2026-08-13 10:25:10,483650,buy,99,250000.0,ensemble,"✅ VWAP (+0.294): VWAP 기준(259,767원)보다 -3.57% 하락 이탈 → 평균회귀 매수 ⬜ Supertrend (0.000): 하락추세 유지 중, 매도 조건 미충족 ⬜ RSI (0.000): RS"
5,2026-08-13 11:05:08,123330,buy,821,30645.092,ensemble,"✅ VWAP (+0.294): VWAP 기준(32,222원)보다 -5.50% 하락 이탈 → 평균회귀 매수 ⬜ Supertrend (0.000): 하락추세 유지 중, 매도 조건 미충족 ✅ RSI (+0.235): RS"
6,2026-08-13 11:25:47,483650,sell,99,239000.0,ensemble,"[손절] 평단 250,005원 → 현재 239,250원 (-4.30%) 손실 한도 초과로 강제 청산"
7,2026-08-13 14:05:11,483650,buy,105,236889.423,ensemble,"✅ VWAP (+0.294): VWAP 기준(249,316원)보다 -4.94% 하락 이탈 → 평균회귀 매수 ⬜ Supertrend (0.000): 하락추세 유지 중, 매도 조건 미충족 ⬜ RSI (0.000): RS"
8,2026-08-13 14:55:05,009150,sell,33,1511000.0,leader_pullback,눌림목 마감청산
9,2026-08-14 09:05:21,123330,sell,821,28900.0,ensemble,"[손절] 평단 30,699원 → 현재 28,900원 (-5.86%) 손실 한도 초과로 강제 청산"
10,2026-08-14 09:25:07,483650,sell,105,229000.0,ensemble,"[손절] 평단 236,886원 → 현재 228,500원 (-3.54%) 손실 한도 초과로 강제 청산"
11,2026-08-14 09:33:16,319400,buy,1709,29250.0,leader_pullback,"눌림목 진입 (스윙저점 28,950, 확정봉 0930)"
12,2026-08-14 09:53:12,319400,sell,1709,28500.0,leader_pullback,눌림목 손절
13,2026-08-14 13:10:49,123330,buy,904,27650.0,ensemble,"✅ VWAP (+0.294): VWAP 기준(28,502원)보다 -2.99% 하락 이탈 → 평균회귀 매수 ⬜ Supertrend (0.000): 하락추세 유지 중, 매도 조건 미충족 ⬜ RSI (0.000): RSI"
