keyword,count,mean_ret,median_ret,win_rate,t_stat
유출,3,0.02738089501512137,0.03046041819459159,1.0,5.530464137554482
기밀 유출,3,0.02738089501512137,0.03046041819459159,1.0,5.530464137554482
삼성 바이오로직스,3,0.025952695501592186,0.021899783374690653,1.0,3.2142051285246103
특허 침해,3,0.019785162609436607,0.014114283341052043,1.0,2.944961891369524
투자 확대,3,0.019380724436068364,0.021899783374690653,0.6666666666666666,1.539108267907072
삼성전자 기밀,3,0.014868956387531164,0.015682899368835677,0.6666666666666666,1.4637312397881868
공개 정보,4,0.013966604484044326,0.012047763826655303,0.5,1.1997120557041192
공개 정보 이용,4,0.013966604484044326,0.012047763826655303,0.5,1.1997120557041192
정보 이용,4,0.013966604484044326,0.012047763826655303,0.5,1.1997120557041192
주주 가치 제고,3,0.012166923170255355,-0.001167836703262223,0.3333333333333333,0.9098649045053768
주주 가치,3,0.012166923170255355,-0.001167836703262223,0.3333333333333333,0.9098649045053768
규모 자사,6,0.011134418751111227,0.006654738313574958,0.6666666666666666,1.58133914370146
상승 마감,3,0.01105791796698278,0.008433473609792741,1.0,2.404548327486308
목표 인센티브,3,0.01086100900184028,0.012218302954634736,1.0,6.102679423938467
반등,4,0.010249796772627277,0.0037663890937513966,0.5,0.940386345202487
삼성 로봇,4,0.010077800425512456,0.01185148358198405,0.75,1.588365538188432
주요 공시,5,0.009757406776841539,-0.0014174183605664172,0.4,1.0786468767463437
주주 환원,9,0.009506437823074013,0.008433473609792741,0.6666666666666666,1.7723535750712975
특별 배당,4,0.009171127654029302,0.01018236202544305,1.0,3.654900238455875
상향,8,0.008371178908032267,0.008125774016308443,0.75,2.098536260159588
가치 제고,5,0.008235749327754909,0.0018458623267319368,0.6,0.9912547619209524
수사,7,0.00789538898777657,-0.0014174183605664172,0.42857142857142855,1.031596419074368
하이닉스 목표,3,0.00787404294655934,0.006624670044706543,1.0,2.92076081019321
의혹,4,0.007663481263541167,0.003279198700427031,0.5,1.0844200191279003
삼성전자 목표,8,0.007281859094124267,0.009056127360292673,0.625,1.570447345308412
삼성전자 실적,4,0.007245122094173082,0.005632794205534641,0.75,1.4049616022167815
노조 파업,4,0.006857220522177064,0.005946994627649294,0.75,1.2813193209930247
특허 소송,5,0.006787968228857579,0.0067148010575761585,0.6,0.8173036980156673
잠정 실적,3,0.00602371988739708,0.006805571251121957,1.0,4.434784280476387
메모리 가격,5,0.005335661280542633,0.0018458623267319368,0.8,1.3083403692212008
배당 계약자,3,0.005067117731758409,0.0018458623267319368,0.6666666666666666,0.6964671591797896
성장,5,0.004967774967192213,0.0013345186137639006,0.6,0.5726791222516476
실적 발표,5,0.004943812550474265,0.002832114801276542,0.8,1.4478460010939116
분기 실적,4,0.004655450963463127,0.0059656454026846065,0.5,0.5820231637567777
역대최고,3,0.004546908431310955,0.006624670044706543,0.6666666666666666,1.839387324645758
프리 마켓,3,0.004467720951237593,0.011397453663009188,0.6666666666666666,0.6572619043382877
파업,15,0.004073985279980353,0.0006796900274199926,0.6,1.092187492204308
하락,11,0.00380759368779807,-0.0014174183605664172,0.36363636363636365,0.7270117507824506
삼성전자 노조,8,0.003741644926616163,0.0043277528944202365,0.625,0.9566113355722129
수익,3,0.0035744667989393453,-0.00018400712334883324,0.3333333333333333,1.145999251414857
삼성전자 지분,6,0.0035042408492377,0.0005520519508770382,0.5,0.8015843447670337
대법 판결,3,0.003027525582973096,0.012218302954634736,0.6666666666666666,0.3716601800220054
퇴직금 반영,3,0.003027525582973096,0.012218302954634736,0.6666666666666666,0.3716601800220054
삼성전자 퇴직자,3,0.003027525582973096,0.012218302954634736,0.6666666666666666,0.3716601800220054
소송,16,0.0030227165499270487,0.004220268948152847,0.5625,0.7284558087667459
분기 영업익,6,0.0028491013428908088,0.0028576451275979884,0.6666666666666666,0.3190362368875928
삼성전자 지분 매각,3,0.0028039042172869236,0.0018458623267319368,0.6666666666666666,0.614243276362187
배당,29,0.002686386941362657,0.0018458623267319368,0.5172413793103449,1.0336651810110007
흑자,5,0.002657193304511819,0.008433473609792741,0.6,0.5522544197820679
확대,17,0.0025100601688523056,-0.0014174183605664172,0.4117647058823529,0.6206893242924825
삼성전자 자사 소각,3,0.002447929997220531,-0.001167836703262223,0.3333333333333333,0.5702471029629522
자사 소각,13,0.0024456474711697348,-0.002005513101023395,0.38461538461538464,0.5670664312870565
수주,15,0.0022807434841019855,-0.00030689170771172527,0.4666666666666667,0.8545356642060369
삼성전자 노사,3,0.0022152133431348315,0.003932954770218773,0.6666666666666666,0.47135213443983487
신고가,3,0.0020136823136563194,-0.00030689170771172527,0.3333333333333333,0.3371656208844202
노태문 사장,4,0.001948530338836375,-0.0022869803082331435,0.25,0.22013275523056722
퇴직금 소송,3,0.0017906000837938803,0.0065946755695737574,0.6666666666666666,0.2258675338713328
영업 이익,11,0.0017614442796922087,0.0018458623267319368,0.5454545454545454,0.4830159064175035
삼성 생명,21,0.0015424250558501546,-0.000703902183806027,0.47619047619047616,0.659988157817965
